英文|中文


















































































































































































































































































































































































































































































































































































































































































































































































 
 copy
 on Techsmith.com
%@ %@
%@%@ %lu.%@
%@%@.%@
%@-%@
%@_%i
%@:%@
%@:%@:%@
%@.%@
%lu
%lux%lu
(Autosaved)
--:--
< 1 MB
< 3 MB
< 10 MB
< 25 MB
A
Activation Failed
Add a mirror-like reflection to an image.
Add a series of numbers and letters in sequence to an image.
Add a shadow effect to a side or around the entire image.
Add an edge effect to one or more sides of an image.
Add an outline border around an image.
Add annotations with text to an image.
Add arrows and lines to an image.
Add arrows to an image.
Add plain text to an image.
Add shapes to an image.
AirDrop - Send the capture to another Apple device through AirDrop.
All Files
Animated GIFs
Annotate your image with the default or custom-made stamps such as accents or cursors.
Apply a filter effect over the entire image.
Apply a gradual dimming to the edges of an image.
Are you sure you want to delete these files?
Are you sure you want to delete this file?
Are you sure you want to replace the original video with the current changes?
Assigning tags to %lu items
Assigning tags to “%@”
Choose a Theme
Click to add or remove a border.
Click to add or remove a color filter effect.
Click to add or remove a fade.
Click to add or remove a perspective effect.
Click to add or remove a reflection.
Click to add or remove a shadow.
Click to add or remove an edge effect.
Close Snagit
Contextual Menu
Create a Preset
Create a copy of the selected capture in the tray.
Create a new image on the canvas.
Create an Animated GIF from a Video Capture
Create new tag
Current News
Current selection contains unsupported files
Customize Your Toolbar
Cut Out Tool
Delete Tag
Delete a vertical or horizontal section of an image and join the two pieces together.
Delete the selection on the canvas.
Destination
Distorts an image to give the appearance  of being viewed from a different angle.
Do more with Snagit!  Click an item below to see how.  Try it out to check it off.
Do you want to delete tag “%@” and remove it from %d %@?
Don't Save
Draw freehand lines on an image.
Drawing Tools
Duration:
EXCEPTION THROWN!!!
Effect Styles
Enlarge and highlight an area in an image.
Erase any flattened area in an image to expose the canvas.
Exception in applicationDidFinishLaunching - %@
Facebook - Post a capture onto your Facebook timeline.
File is Locked
Flattened objects cannot be moved or edited.
Flickr - Upload an image capture onto Flickr.
Flood-fill a flattened area in an image with a color.
General Capture
Generic
Getting Started
Hide Effects panel
Hide Properties panel
Hide or mask sensitive information in an image.
Hide the recent captures tray
Highlight a rectangular area in an image.
Incompatible Version
Install Snagit
Keep GIFs under 30 seconds in length for best results. Would you like to continue anyway?
Large Files
Line & Arrow Tool
Log in with a different user
MMMM d 'at' h:mma
Magnify Tool
Mail - Insert the capture into a new email message.
Make objects a permanent part of the image. Flattened objects cannot be moved or edited.
Menu Items
Messages - Insert the capture into a new message.
Misc
More Snagit Outputs...
More...
Move Tool
Move objects on the canvas. Shift-click to select multiple objects.
My Account
My Purchases
Name cannot contain . or /
New Graphic
New Image
No Key? 
Not Applicable
Notes - Insert an image capture into a new note.
Ok
Older
Open an image or MP4 video file in Snagit Editor.
Open the list of captures shared to web-based destinations
Open the printer settings to print the current image.
Pan
Past 7 Days
Past Hour
Paste the content on the Clipboard into a new image on the canvas.
Pen Tool
Photos - Send an image capture to your photo library.
Please go back to the website and start your capture again.
Purchase Snagit
Quick Effects
Quick Styles
Remove unwanted areas from the edges of an image.
Resize image
Save current frame
Select a portion of an image on the canvas to cut, copy, edit or move.
Selection
Shape Tool
Share Destinations
Share History
Share History...
Share a Capture
Show Effects panel
Show Properties panel
Show the recent captures tray
Sign in
Sign in error
Snagit Favorites
Snagit could not open the movie.
Snagit is locked
Snagit timed out trying to start your capture.
Start a new capture
Switch to Library
Switch to Snagit Editor
Take a Panoramic Capture
Take a Scrolling Capture
Take an Image Capture
Text Tool
Thank you for previewing Snagit!
The file is corrupted or damaged.
The video may not display correctly. Do you want to share the video?
This pre-release version has expired—you may safely uninstall it from your computer.
This version of Snagit Helper is incompatible with the Editor. Please relaunch Snagit to fix this issue.
To configure Snagit manually, download and install the TechSmith Relay Recorder and add TechSmith Relay to your Outputs in Snagit preferences.
To continue, objects must be flattened on the canvas
Tool Properties
Twitter - Post a tweet to your Twitter account that includes a link to the capture.
Unmute
Upgrade to Snagit %@ Trial Version
Use Selection
Use Whole Video
Use an Editing Tool to Mark Up Your Image
Video Dimensions
Video and Animated GIF files cannot be exported. Would you like to continue exporting the images?
Videos
Videos with dimensions larger than 1920x1088 may not display correctly in certain web browsers.
View Zoom options
View additional tools and toolbar customization options.
We could not configure Snagit automatically
Welcome! Click a task to learn how to do it, and use Snagit to check it off the list.
What's New?
Would you like to create the GIF from your selection or the whole video?
Yesterday
You are not entitled to use snagit, please contact your administrator
You can't undo this action.
You do not have a paid license for this version. The update will install a trial version of Snagit.
brushGraphic.tooltip
fillGraphic.tooltip
highlightGraphic.tooltip
lineGraphic.tooltip
item
items
shapeGraphic.tooltip
stepGraphic.tooltip
textGraphic.tooltip
trayItem.tooltip
yyyy-MM-dd_HH-mm-ss
Remove all
Canvas copied
Your content is ready to be pasted
AMainMenu
Clear Menu
Show Spelling…
Resize Image…
Selection
Export to PDF…
Import Stamps…
Change Canvas Color…
Rotate Image…
Import from Google Drive…
Connect Mobile Device…
Import from My Places…
Customize Toolbar…
Convert Video…
Restore Gallery Styles
Always create new canvas at this size
Drag and paste format:
AutoSave 
Autosave Location:
Scale down retina images when sharing
Mobile Sharing is off.   Mobile devices cannot send files to Snagit.
1234
Port:
Friendly name
 Connection Name:
Keep original image dimensions
someserver.techsmithrelay.com
Always use black and white menu bar icon
Server:
Disconnect from Relay Server
Auto-expand canvas
Restore 3.X.X Styles
Relay Account Server
Scale large images to fit canvas
Item 1
 - %@
 @%dx
%
%@
%@\n%@\n%@\n%@\n%@
%@ %@
%@ - %1.0fpx
%@%@ %@%@ %@%@
%@(unknown) %@(unknown) %@(unknown)
( 
0:00:00
1
100%
A
A new image was created in the tray.
B:
Beta
Change Canvas Color…
Close Other Captures
Color: %@
Configuring Snagit
Creating GIF
Downloading “%@”
E
Edit item...
Edit items...
Enter name for Snagit to appear in TechSmith Fuse.
Enter port number for connecting Snagit to TechSmith Fuse.
Error Configuring TechSmith Relay Uploader
Error mixing audio tracks. Disable system audio and retry your capture.
Export Complete
Export items...
File Complete
Fill Color: %@
G:
Got it
Here's a one-time 15 day extension to keep exploring Snagit!
Hide Effects
Hide Properties
Hide Recent Captures
Line Width: %dpt
Mobile Sharing is Off.  Mobile devices cannot send files to Snagit.
Mobile Sharing is On.  Mobile devices can send files to Snagit via your network connection.
N
NE
NW
No Effects
Opacity: %d%%
Outline Color: %@
Please click the configure link on your TechSmith Relay website's download page.
Please contact your TechSmith Relay Administrator
Please enter the administrator credentials when prompted.
Preferences are not available for %@.
Properties…
R:
Remove Quick Style
Remove Quick Effect
Restart
Restore 3.X.X Defaults
Restore Defaults
S
SE
SW
Shadow: %@
Show Recent Captures
Size: %dpt
Snagit Library
Snagit did not shut down properly last time and needs to try again. Please restart Snagit.
Snagit experienced a problem while processing pending captures. Do you want to delete the damaged or corrupt capture or try again?
Snagit needs to be configured for TechSmith Relay
Snagit needs to be in the applications folder to run properly.  Please move Snagit to the applications folder and relaunch the program.
Snagit's TechSmith Relay Uploader has an update
Switch to Editor
Switch to Library
Tags...
TechSmith Relay Uploader successfully configured!
The Autosave folder already exists in the selected location. Please choose another location and try again.
The GIF file is now available in the Snagit Editor tray.
The document “%@” could not be opened.
The output is not compatible with this version of Snagit. Select Snagit > Check for Updates.
The selected Autosave location does not have enough free disk space. Please free up some disk space and try again. 
Unable to load output
Unable to open “%@” in Snagit. The file may be damaged or in an unsupported file format.
W
You must restart Snagit to use this output.
a
px
← 
↑ 
↓ 
➞ 
Are you sure you want to delete this Place? Deleting this Place will also remove it from your TechSmith account.
Delete Place
Invalid title
My Places
The link to your capture is ready to be pasted.
Titles cannot contain these characters: %@
Unable to connect
Unable to connect to My Places
Unable to connect to server. Please check your internet connection and try again.
Upload the capture to Microsoft OneDrive for Business to access it at anytime across computers or devices.
%1$@ %2$@ Birthday
%1$@ %2$@ Chinese Birthday
%1$@ - %2$@
%1$@ Birthday
%1$@ Chinese Birthday
%1$@ turned %2$d on\n%3$@!
%1$@ was born on\n%2$@!
%1$@ will turn %2$d on\n%3$@!
%@ (Reminders)
%@ accepted
%@ availability is unknown
%@ declined
%@ has a conflict
%@ has accepted your invitation to the event: %@ (%@)
%@ has canceled the event: %@ (%@)
%@ has declined your invitation to the event: %@ (%@)
%@ has invited you to the event: %@ (%@)
%@ has tentatively accepted your invitation to the event: %@ (%@)
%@ has updated the event: %@ (%@)
%@ is available
%@ is available all day.
%@ is available from %@ to %@.
%@ is busy all day.
%@ is busy from %@ to %@.
%@ is not available all day.
%@ is not available from %@ to %@.
%@ is tentative all day.
%@ is tentative from %@ to %@.
%@ more...
%@ was not found on the server.
%d days remaining - Buy now!
%ld invitees accepted
%ld invitees declined
%ld more…
%ld of %ld
(no title)
, 
1 day remaining - Buy now!
\nThis copy of Fantastical 2 is licensed to %@.\n\nThank you for purchasing Fantastical 2!\n
Accept
Accept All
Account already exists
Accounts
Add Account
Add Event
Add event or reminder
Add Location
add new event or reminder
Add Reminder
Add Response
Add Title
Add URL
Added to %@ by %@
After
After %lu times
After 1 time
alert
Alerts
All Calendars
All Future Events
All invitees are available from %@ to %@.
All invitees are available.
All occurrences of a repeating event must have the same all-day status.
All occurrences of a repeating event must have the same privacy level.
all-day
Anniversaries
Apply to all remaining conflicts
Apps
Are you sure you want to change the repeating rule for this event?
Are you sure you want to delete the calendar \"%@\"? This will also delete all of the events on this calendar.
